pays,code_iso3,volaille_kcal_hab_jour,population_milliers,pib_par_habitant_ppp,pct_pop_ne_peut_manger_sain,imports_alim_pct_imports_totaux,densite_population_hab_km2,pct_population_urbaine,lpi_efficacite_douane,croissance_pib_pct,marche_volaille,taux_dependance_import,prix_moyen_import,part_bio_agriculture,indice_stabilite_globale,part_volaille_viande,distance_france_km,volaille_import_valeur_usd_hab
Mozambique,MOZ,15.71,28166.39,1532,84.4,14.7212509931123,35.8177891095908,32.6274411492675,2.491724,2.63820737310658,442493.9869,100.0,1697.6096806840162,0.00030473205345870876,39.59166218,1.6313603322949117,8845.147766915537,1.490026943459918
Mauritius,MUS,141.49,1290.65,24073,14.7,23.986572421994,633.393590385578,39.4499348663789,2.7,3.93798380632353,182614.06850000002,53.27875,2818.2084789902165,0.0001627906976744186,70.5592172,2.746312111801242,9412.122132145,5.58418626273583
Argentina,ARG,167.11,44288.89,28335,8.5,4.17929787657057,16.1833799224611,91.6776028433824,2.524286,2.81850297775918,7401116.407900001,4.248293246993525,1499.9940118521777,0.027033923089927216,55.65645188,1.4980726131779474,11053.423922796077,0.31107485421287373
Republic of Korea,KOR,73.29,51486.27,44788,10.2,5.9188684678787,526.734806686494,81.471030429984,3.4265425,3.433191763972,3773428.7283,100.0,2114.5018045500456,0.012345679012345678,70.3601245,0.9862737182075091,8965.73076437139,6.158735328855635
Luxembourg,LUX,73.51,596.5,132170,2.6,11.9611992295063,231.635372078028,92.0963768119916,3.715,1.31718713754285,43848.715000000004,100.0,4903.603573144334,0.041522438585522806,87.34594215999998,0.8692207638642546,293.71185327928396,104.55165129924559
Ghana,GHA,26.31,30008.35,5994,65.9,18.2916723569764,131.88166476224,54.6991419779128,2.453447,8.12889488100956,789519.6884999999,100.0,812.6506470884019,0.001266140823211165,55.08378097999999,1.7551701134089392,4820.419463334211,4.111411323848196
Madagascar,MDG,13.85,26788.37,1670,93.0,19.9432334426958,46.0439584049502,29.671033028335,2.325787,3.93330759462793,371018.92449999996,0.15619047619047619,2467.2256097560976,0.0015649834943147083,41.40865404,2.120980091883614,8758.881287914819,0.0012083601951145217
Gambia,GMB,30.0,2342.19,2533,43.0,33.0354914197728,231.441600790514,60.471712657237,2.08,4.8226112492757,70265.7,100.0,390.07748710982577,0.0,46.943606079999995,2.5839793281653747,4303.357934243354,2.736503016407721
Ecuador,ECU,76.64,16759.52,14179,23.1,10.1880068896461,67.4807497181511,63.0194591842425,2.71969,5.97039880954841,1284449.6128,0.8851470588235294,2223.824555574016,0.007475849731663685,45.25960922,1.5420523138832998,9359.341256964124,0.03993312457636018
Democratic Republic of the Congo,COD,5.08,87083.4,1253,94.8,13.3983576538355,38.4126499194989,42.1127579403217,2.2965565000000003,4.24121047272719,442383.67199999996,100.0,946.1462650105021,0.0018209836676209158,26.624884220000002,1.1390134529147982,6045.160180565751,1.0600815999375313
Nigeria,NGA,5.14,200254.58,5652,73.2,16.315758249379,219.873929751749,57.3486345560101,2.21599,0.805886619102438,1029308.5411999999,61.55903100775193,1643.0457183909314,0.0007887266176104608,35.691756420000004,0.6993197278911565,4450.614511971536,0.13031027804707387
Switzerland,CHE,59.53,8453.63,77627,1.3,4.54540176537,213.918480127503,77.9126273688843,3.754953,1.36279965488859,503244.5939,100.0,4482.153962041032,0.09898025566774175,89.35207848,0.8930393039303931,435.2063589708729,28.408344107797483
Latvia,LVA,80.48,1942.59,33036,27.1,16.2873234108023,31.2123033409935,67.9706866054779,2.9553845,3.39894872623931,156339.6432,100.0,1325.8569227126427,0.13911019141231246,68.16155982000001,1.1614951652475105,1702.92985347934,31.8802320613202
Costa Rica,CRI,100.63,4913.18,22623,14.3,13.4055451491915,96.2235996866432,76.0539254265608,2.4778205,4.1576989627609,494413.30340000003,100.0,1887.0197602682108,0.005039748262836427,65.1658841,1.9562597200622085,8917.700779010218,6.643245311590456
Bolivia (Plurinational State of),BOL,168.78,11344.59,9643,14.7,8.25386526399591,10.4722486845749,69.0838016274736,2.143676,4.19520633360403,1914739.9002,1.4958579881656804,1169.8839662447258,0.0030126515550869793,43.17414712,2.0801084545230464,10064.169459799788,0.07820820320522821
South Africa,ZAF,138.24,57635.16,14591,60.8,7.87838407329725,47.5110354549127,63.3311078299936,3.38273,1.15794695181735,7967484.518400001,100.0,865.9431975189458,0.00042951599007691433,55.39238142000001,2.2314769975786923,8683.841650582099,8.372829536692532
Belgium,BEL,42.16,11376.58,58555,2.1,10.3562532070541,375.009329772855,86.6731739531869,3.7448495,1.47446761556785,479636.61279999994,100.0,2151.660378057364,0.06292388847023361,75.69290773999998,0.7715959004392385,263.62896111028294,64.64296387842391
Lao People's Democratic Republic,LAO,21.26,7018.15,7433,58.5,12.0783900678523,30.4079159445407,34.5115346444216,2.228077,6.8925308726989,149205.869,100.0,950.0468387221273,0.0032632649601627398,46.34731273999999,0.816122840690979,9236.226198480048,2.216729479991166
